timestep,edge_mask_0,edge_mask_1,edge_mask_2,edge_mask_3,edge_mask_4,edge_mask_5,edge_mask_6,edge_mask_7,edge_mask_8,edge_mask_9,edge_mask_10,edge_mask_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,0.01725095,0.1682795,0.04080035,0.10155178,0.41393092,0.43253607,0.66585153,0.38961187,0.5266636,0.23259674,0.5931372,0.41778967,0.021866914,-0.4495781,0.061261185,0.08773138,-0.17758395,-0.57690686,-0.3404903,0.5720377,0.06686641,0.06771312,-0.76659894,0.087711126,-0.16434835,0.18637648,0.09015559,-0.04726079,-0.60093325,0.51057374,-0.47819394,0.27280393,-0.019060524,-0.008439292,-0.9672671,0.11864936,0.61261183,0.8773138,0.6686641,0.6771312,0.90155584,-0.47260794,-0.19060524,-0.08439292
1,0.020968813,0.23316608,0.047620106,0.0834826,0.39556706,0.41847387,0.70872355,0.36832964,0.53390604,0.20779385,0.6107015,0.3712668,0.030238794,-0.437729,0.108900726,0.15361868,-0.16921207,-0.56505775,-0.331259,0.5808576,0.12042168,0.11314117,-0.7573676,0.096531,-0.15214886,0.17962739,0.158247,-0.088854484,-0.58873373,0.50382465,-0.48069584,0.27204788,-0.032168537,-0.008381348,-0.969769,0.11789331,0.62954843,0.8782014,0.70271885,0.6235633,0.90630317,-0.534089,-0.17873147,-0.020518787
2,0.026954906,0.31772584,0.056396708,0.069181606,0.35723948,0.41782507,0.7518596,0.36682767,0.5257782,0.17895885,0.6062174,0.3250347,0.04224153,-0.42097917,0.1455952,0.20235443,-0.15720934,-0.5483079,-0.31780192,0.59286433,0.16407433,0.14354193,-0.74391055,0.10853776,-0.13480262,0.16939963,0.20998056,-0.12603529,-0.5713875,0.4935969,-0.4838908,0.2716129,-0.037165236,-0.0030595283,-0.9729639,0.11745834,0.6391964,0.87140405,0.7375807,0.58686054,0.9129531,-0.5939443,-0.1303883,0.03226482
3,0.034402665,0.41507506,0.066695444,0.057808593,0.3099024,0.4255407,0.7918425,0.36100924,0.50776386,0.15034887,0.6045881,0.2750225,0.0570246,-0.4006725,0.173587,0.23726742,-0.14242627,-0.52800125,-0.30084902,0.606999,0.2005113,0.16380402,-0.7269577,0.12267241,-0.113526,0.15606439,0.2496199,-0.1592364,-0.5501109,0.48026165,-0.48706236,0.27179724,-0.034276437,0.0046021948,-0.9761355,0.11764267,0.643906,0.855016,0.7745553,0.56147575,0.92134494,-0.6470995,-0.06402513,0.06896841
4,0.0436051,0.52040166,0.078541115,0.048724327,0.25504845,0.44298667,0.831683,0.35150996,0.4784722,0.11959276,0.6048849,0.2245499,0.07390621,-0.37793228,0.19456677,0.26036948,-0.12554465,-0.50526106,-0.28096476,0.62254614,0.23114851,0.17721753,-0.7070734,0.13821957,-0.089228936,0.14000762,0.28014112,-0.18799478,-0.5258138,0.46420488,-0.48956352,0.27263355,-0.024547579,0.011637096,-0.9786367,0.11847898,0.6437652,0.8241892,0.8076501,0.5436454,0.929262,-0.6856748,0.011597505,0.0818545
5,0.054737117,0.62246877,0.091687515,0.042628866,0.20030233,0.46089876,0.8650138,0.33892602,0.44741377,0.092357315,0.60633683,0.1772289,0.09236486,-0.35372618,0.21036083,0.2732504,-0.107086,-0.48105493,-0.25862315,0.6389883,0.25678644,0.18542789,-0.6847318,0.15466174,-0.062632605,0.121648595,0.3032016,-0.21198633,-0.4992175,0.44584584,-0.4908876,0.27400744,-0.009794354,0.017080283,-0.9799608,0.11985287,0.64435726,0.77973306,0.83425057,0.52514756,0.9309573,-0.70990276,0.08616331,0.08352461
6,0.067805,0.7120584,0.105168,0.037662793,0.15152362,0.4766247,0.8912293,0.32401156,0.41820723,0.07110796,0.6081834,0.13641797,0.11206635,-0.3288353,0.2231777,0.27822202,-0.087384515,-0.45616406,-0.23424137,0.6558151,0.27797034,0.18773274,-0.66034997,0.17148855,-0.03436864,0.101382375,0.3194653,-0.23177716,-0.47095352,0.42557964,-0.49068892,0.27575877,0.008208759,0.020648967,-0.9797621,0.121604204,0.6540711,0.7328421,0.85380524,0.4866181,0.92064095,-0.7278737,0.15554525,0.078387566
7,0.0827274,0.784468,0.11770683,0.033949737,0.112003945,0.48761597,0.90909505,0.3075204,0.39467716,0.05695521,0.6097522,0.10352802,0.13289906,-0.3037723,0.235623,0.278606,-0.066551805,-0.43110105,-0.20819369,0.6722459,0.29514262,0.1799803,-0.6343023,0.18791935,-0.0050242534,0.0794331,0.3293405,-0.24993272,-0.44160914,0.40363038,-0.4887706,0.27775368,0.027867338,0.022924008,-0.97784376,0.12359911,0.6823971,0.6993946,0.8666486,0.39180776,0.8974143,-0.7609985,0.21710767,0.07437284
8,0.099499024,0.8400705,0.12997566,0.031685732,0.082013436,0.4986463,0.92112786,0.2894702,0.371378,0.04718646,0.6110308,0.07791605,0.1549719,-0.27876544,0.2500691,0.27747828,-0.044478968,-0.4060942,-0.18080765,0.6871033,0.30886266,0.1576329,-0.6069163,0.2027767,0.024843711,0.05575937,0.33312917,-0.26959577,-0.41174117,0.37995663,-0.4850623,0.2798991,0.04787181,0.024295133,-0.97413546,0.12574452,0.73351896,0.6852378,0.8750567,0.22647706,0.8612375,-0.8214622,0.269713,0.0710213
9,0.11810963,0.8815672,0.13989787,0.032013327,0.060199827,0.5113846,0.9252252,0.27099475,0.34871748,0.042761438,0.61089563,0.058233015,0.17853977,-0.25369036,0.26776323,0.27917993,-0.020911098,-0.38101912,-0.15234418,0.69926876,0.31995973,0.12394136,-0.5784528,0.21494219,0.054651782,0.030199872,0.33023655,-0.29119372,-0.3819331,0.35439715,-0.4795988,0.28215617,0.06712287,0.025470149,-0.9686719,0.1280016,0.8021142,0.7107122,0.8831272,0.05716679,0.8038969,-0.8899691,0.31219015,0.072487995
